	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11
MLS	12.0227	14.9	14.5676	16.2192	15.8816	15.6702	17.1429	16.9412	18.8395	17.9878	18.3506
MLT	10.58	13.3718	12.8333	14.439	13.2637	14.5842	15.3846	15.1579	17.1461	15.6915	14.567
MLC	6.4512	7.3451	8.4219	9.7851	7.6392	8.2753	10.7143	9.0566	11.8295	9.5779	9.7448
C/S	1.8636	2.0286	1.7297	1.6575	2.0789	1.8936	1.6	1.8706	1.5926	1.878	1.8831
VP/T	2.03	1.9615	1.7381	1.9756	2.2747	2.3762	1.8462	2.0211	1.8427	2.1277	1.9485
C/T	1.64	1.8205	1.5238	1.4756	1.7363	1.7624	1.4359	1.6737	1.4494	1.6383	1.4948
DC/C	0.378	0.4296	0.3281	0.3306	0.3987	0.4045	0.3214	0.4088	0.3023	0.3961	0.3379
DC/T	0.62	0.7821	0.5	0.4878	0.6923	0.7129	0.4615	0.6842	0.4382	0.6489	0.5052
T/S	1.1364	1.1143	1.1351	1.1233	1.1974	1.0745	1.1143	1.1176	1.0988	1.1463	1.2597
CT/T	0.45	0.5385	0.3571	0.378	0.4835	0.4752	0.3333	0.5579	0.3371	0.4574	0.3814
CP/T	0.24	0.2179	0.2619	0.3171	0.2088	0.3465	0.4103	0.3368	0.4719	0.2979	0.4433
CP/C	0.1463	0.1197	0.1719	0.2149	0.1203	0.1966	0.2857	0.2013	0.3256	0.1818	0.2966
CN/T	0.94	1.4744	1.2143	1.5854	1.2527	1.4653	1.7436	1.6	2.0562	1.8511	1.5361
CN/C	0.5732	0.8099	0.7969	1.0744	0.7215	0.8315	1.2143	0.956	1.4186	1.1299	1.0276
