Aux	Country	Causation	EPTrans	EPTrans1
laten	NL	Inducive	Intr	Intr
laten	NL	Physical	Intr	Intr
laten	NL	Inducive	Tr	Tr
doen	BE	Affective	Intr	Intr
laten	NL	Inducive	Tr	Tr
laten	NL	Volitional	Intr	Intr
doen	NL	Physical	Intr	Intr
doen	NL	Affective	Tr	Tr
doen	NL	Inducive	Intr	Intr
laten	BE	Inducive	Intr	Intr
doen	BE	Affective	Intr	Intr
laten	BE	Volitional	Intr	Intr
doen	BE	Volitional	Intr	Intr
doen	BE	Volitional	Intr	Intr
laten	BE	Inducive	Tr	Tr
laten	BE	Inducive	Tr	Tr
laten	BE	Inducive	Intr	Intr
doen	BE	Physical	Intr	Intr
laten	BE	Inducive	Tr	Tr
laten	BE	Volitional	Intr	Intr
laten	BE	Inducive	Intr	Intr
laten	NL	Volitional	Intr	Intr
laten	BE	Volitional	Intr	Intr
laten	BE	Inducive	Tr	Tr
laten	NL	Volitional	Intr	Intr
doen	BE	Volitional	Intr	Intr
doen	BE	Affective	Intr	Intr
doen	BE	Physical	Intr	Intr
doen	BE	Inducive	Tr	Tr
laten	BE	Volitional	Intr	Intr
laten	BE	Inducive	Tr	Tr
laten	BE	Inducive	Tr	Tr
doen	BE	Affective	Tr	Tr
laten	NL	Inducive	Tr	Tr
doen	BE	Affective	Intr	Intr
laten	BE	Volitional	Intr	Intr
doen	NL	Inducive	Intr	Intr
laten	BE	Volitional	Intr	Intr
laten	BE	Affective	Tr	Tr
laten	BE	Volitional	Intr	Intr
doen	NL	Inducive	Intr	Intr
doen	NL	Inducive	Intr	Intr
laten	BE	Volitional	Intr	Intr
laten	NL	Inducive	Tr	Tr
laten	NL	Inducive	Tr	Tr
laten	BE	Volitional	Intr	Intr
laten	BE	Inducive	Tr	Tr
laten	NL	Volitional	Intr	Intr
laten	NL	Inducive	Tr	Tr
doen	BE	Physical	Intr	Intr
doen	BE	Affective	Intr	Intr
doen	BE	Volitional	Intr	Intr
doen	BE	Affective	Intr	Intr
doen	NL	Physical	Intr	Intr
laten	NL	Volitional	Intr	Intr
laten	BE	Inducive	Intr	Intr
doen	BE	Physical	Intr	Intr
laten	NL	Inducive	Intr	Intr
doen	NL	Affective	Tr	Tr
doen	BE	Physical	Intr	Intr
laten	NL	Volitional	Tr	Tr
laten	BE	Volitional	Intr	Intr
laten	BE	Inducive	Intr	Intr
laten	BE	Inducive	Tr	Tr
laten	NL	Inducive	Tr	Tr
laten	BE	Inducive	Intr	Intr
doen	NL	Physical	Intr	Intr
doen	BE	Affective	Tr	Tr
doen	BE	Physical	Intr	Intr
doen	BE	Physical	Intr	Intr
doen	BE	Affective	Intr	Intr
doen	NL	Affective	Tr	Tr
laten	BE	Inducive	Intr	Intr
doen	BE	Physical	Intr	Intr
doen	NL	Physical	Intr	Intr
laten	NL	Volitional	Tr	Tr
doen	BE	Physical	Intr	Intr
laten	NL	Volitional	Intr	Intr
laten	NL	Volitional	Tr	Tr
laten	BE	Volitional	Intr	Intr
doen	BE	Physical	Intr	Intr
doen	NL	Affective	Intr	Intr
laten	NL	Inducive	Tr	Tr
doen	BE	Affective	Tr	Tr
laten	NL	Volitional	Intr	Intr
laten	NL	Volitional	Intr	Intr
laten	NL	Inducive	Tr	Tr
doen	BE	Affective	Tr	Tr
doen	BE	Physical	Intr	Intr
laten	BE	Inducive	Intr	Intr
doen	BE	Inducive	Intr	Intr
doen	BE	Physical	Intr	Intr
doen	NL	Physical	Intr	Intr
laten	NL	Volitional	Intr	Intr
laten	BE	Inducive	Intr	Intr
laten	BE	Volitional	Intr	Intr
laten	NL	Inducive	Intr	Tr
doen	NL	Affective	Intr	Intr
doen	NL	Affective	Intr	Intr
doen	BE	Physical	Intr	Intr
laten	NL	Volitional	Tr	Tr
laten	NL	Volitional	Intr	Intr
laten	BE	Volitional	Intr	Intr
doen	NL	Affective	Intr	Intr
doen	BE	Inducive	Tr	Tr
doen	NL	Volitional	Intr	Intr
doen	BE	Physical	Intr	Intr
doen	BE	Volitional	Intr	Intr
doen	NL	Volitional	Intr	Intr
laten	NL	Volitional	Tr	Tr
doen	BE	Affective	Tr	Tr
doen	BE	Affective	Intr	Intr
doen	NL	Physical	Intr	Intr
laten	NL	Affective	Intr	Intr
doen	BE	Affective	Intr	Intr
laten	BE	Inducive	Tr	Tr
laten	NL	Inducive	Tr	Tr
laten	BE	Volitional	Intr	Intr
doen	BE	Physical	Intr	Intr
doen	BE	Physical	Intr	Intr
doen	NL	Affective	Tr	Tr
doen	NL	Affective	Intr	Intr
doen	BE	Inducive	Intr	Intr
doen	NL	Affective	Intr	Intr
doen	BE	Affective	Intr	Intr
doen	NL	Physical	Intr	Intr
doen	BE	Physical	Intr	Intr
laten	NL	Affective	Tr	Tr
doen	NL	Physical	Intr	Intr
doen	BE	Physical	Intr	Intr
doen	NL	Volitional	Intr	Intr
laten	NL	Inducive	Tr	Tr
doen	NL	Physical	Intr	Intr
laten	BE	Volitional	Intr	Intr
doen	BE	Physical	Intr	Intr
laten	BE	Inducive	Tr	Tr
laten	NL	Inducive	Tr	Tr
laten	BE	Inducive	Tr	Tr
laten	BE	Volitional	Intr	Tr
doen	BE	Physical	Intr	Intr
laten	BE	Affective	Intr	Intr
laten	BE	Physical	Intr	Intr
laten	NL	Volitional	Tr	Tr
laten	NL	Affective	Tr	Tr
laten	BE	Inducive	Intr	Intr
laten	NL	Inducive	Tr	Tr
